ticker,metric_name,period_end,form,value
AAPL,Revenues,2024-09-30,10-Q,90000000000.0
AAPL,NetIncome,2024-09-30,10-Q,22000000000.0
AAPL,Revenues,2024-06-30,10-Q,88000000000.0
AAPL,NetIncome,2024-06-30,10-Q,21200000000.0
AAPL,Revenues,2024-03-30,10-Q,86000000000.0
AAPL,NetIncome,2024-03-30,10-Q,20400000000.0
AAPL,Revenues,2023-12-30,10-Q,84000000000.0
AAPL,NetIncome,2023-12-30,10-Q,19600000000.0
AAPL,Revenues,2023-09-30,10-Q,82000000000.0
AAPL,NetIncome,2023-09-30,10-Q,18800000000.0
AAPL,Revenues,2023-06-30,10-Q,80000000000.0
AAPL,NetIncome,2023-06-30,10-Q,18000000000.0
AAPL,Revenues,2023-03-30,10-Q,78000000000.0
AAPL,NetIncome,2023-03-30,10-Q,17200000000.0
AAPL,Revenues,2022-12-30,10-Q,76000000000.0
AAPL,NetIncome,2022-12-30,10-Q,16399999999.999998
MSFT,Revenues,2024-09-30,10-Q,90000000000.0
MSFT,NetIncome,2024-09-30,10-Q,22000000000.0
MSFT,Revenues,2024-06-30,10-Q,88000000000.0
MSFT,NetIncome,2024-06-30,10-Q,21200000000.0
MSFT,Revenues,2024-03-30,10-Q,86000000000.0
MSFT,NetIncome,2024-03-30,10-Q,20400000000.0
MSFT,Revenues,2023-12-30,10-Q,84000000000.0
MSFT,NetIncome,2023-12-30,10-Q,19600000000.0
MSFT,Revenues,2023-09-30,10-Q,82000000000.0
MSFT,NetIncome,2023-09-30,10-Q,18800000000.0
MSFT,Revenues,2023-06-30,10-Q,80000000000.0
MSFT,NetIncome,2023-06-30,10-Q,18000000000.0
MSFT,Revenues,2023-03-30,10-Q,78000000000.0
MSFT,NetIncome,2023-03-30,10-Q,17200000000.0
MSFT,Revenues,2022-12-30,10-Q,76000000000.0
MSFT,NetIncome,2022-12-30,10-Q,16399999999.999998
NVDA,Revenues,2024-09-30,10-Q,90000000000.0
NVDA,NetIncome,2024-09-30,10-Q,22000000000.0
NVDA,Revenues,2024-06-30,10-Q,88000000000.0
NVDA,NetIncome,2024-06-30,10-Q,21200000000.0
NVDA,Revenues,2024-03-30,10-Q,86000000000.0
NVDA,NetIncome,2024-03-30,10-Q,20400000000.0
NVDA,Revenues,2023-12-30,10-Q,84000000000.0
NVDA,NetIncome,2023-12-30,10-Q,19600000000.0
NVDA,Revenues,2023-09-30,10-Q,82000000000.0
NVDA,NetIncome,2023-09-30,10-Q,18800000000.0
NVDA,Revenues,2023-06-30,10-Q,80000000000.0
NVDA,NetIncome,2023-06-30,10-Q,18000000000.0
NVDA,Revenues,2023-03-30,10-Q,78000000000.0
NVDA,NetIncome,2023-03-30,10-Q,17200000000.0
NVDA,Revenues,2022-12-30,10-Q,76000000000.0
NVDA,NetIncome,2022-12-30,10-Q,16399999999.999998
GOOGL,Revenues,2024-09-30,10-Q,140000000000.0
GOOGL,NetIncome,2024-09-30,10-Q,35000000000.0
GOOGL,Revenues,2024-06-30,10-Q,136000000000.0
GOOGL,NetIncome,2024-06-30,10-Q,34000000000.0
GOOGL,Revenues,2024-03-30,10-Q,132000000000.0
GOOGL,NetIncome,2024-03-30,10-Q,33000000000.0
GOOGL,Revenues,2023-12-30,10-Q,128000000000.0
GOOGL,NetIncome,2023-12-30,10-Q,32000000000.0
GOOGL,Revenues,2023-09-30,10-Q,124000000000.0
GOOGL,NetIncome,2023-09-30,10-Q,31000000000.0
GOOGL,Revenues,2023-06-30,10-Q,120000000000.0
GOOGL,NetIncome,2023-06-30,10-Q,30000000000.0
GOOGL,Revenues,2023-03-30,10-Q,116000000000.0
GOOGL,NetIncome,2023-03-30,10-Q,29000000000.0
GOOGL,Revenues,2022-12-30,10-Q,112000000000.0
GOOGL,NetIncome,2022-12-30,10-Q,28000000000.0
AMZN,Revenues,2024-09-30,10-Q,520000000000.0
AMZN,NetIncome,2024-09-30,10-Q,25000000000.0
AMZN,Revenues,2024-06-30,10-Q,512000000000.0
AMZN,NetIncome,2024-06-30,10-Q,24200000000.0
AMZN,Revenues,2024-03-30,10-Q,504000000000.0
AMZN,NetIncome,2024-03-30,10-Q,23400000000.0
AMZN,Revenues,2023-12-30,10-Q,496000000000.0
AMZN,NetIncome,2023-12-30,10-Q,22600000000.0
AMZN,Revenues,2023-09-30,10-Q,488000000000.0
AMZN,NetIncome,2023-09-30,10-Q,21800000000.0
AMZN,Revenues,2023-06-30,10-Q,480000000000.0
AMZN,NetIncome,2023-06-30,10-Q,21000000000.0
AMZN,Revenues,2023-03-30,10-Q,472000000000.0
AMZN,NetIncome,2023-03-30,10-Q,20200000000.0
AMZN,Revenues,2022-12-30,10-Q,464000000000.0
AMZN,NetIncome,2022-12-30,10-Q,19400000000.0
