ticker,date,open,high,low,close,volume,vwap,transactions
NVDA,2024-01-02,484.04,489.0,479.19,484.16,38250879,484.12,158513
NVDA,2024-01-03,478.9,484.19,474.11,479.39,52220032,479.23,242964
NVDA,2024-01-04,471.75,478.48,467.03,473.74,30893916,473.09,157314
NVDA,2024-01-05,467.88,475.42,463.2,470.72,46837351,469.78,287700
NVDA,2024-01-08,472.39,479.72,467.66,474.97,36613218,474.12,254472
NVDA,2024-01-09,468.63,477.47,463.94,472.74,52764221,471.38,141853
NVDA,2024-01-10,476.23,482.64,471.47,477.86,34664384,477.32,188236
NVDA,2024-01-11,470.7,477.22,466.0,472.5,40769381,471.91,190165
NVDA,2024-01-12,472.12,480.73,467.4,475.97,51891953,474.7,240568
NVDA,2024-01-15,466.68,475.73,462.01,471.02,32364005,469.59,176854
NVDA,2024-01-16,475.45,483.2,470.7,478.41,55851207,477.44,251349
NVDA,2024-01-17,474.31,479.39,469.57,474.64,49837899,474.53,175861
NVDA,2024-01-18,480.68,489.67,475.87,484.82,55994510,483.46,199647
NVDA,2024-01-19,479.47,487.36,474.68,482.54,40944965,481.53,197040
NVDA,2024-01-22,478.42,486.46,473.63,481.64,51054609,480.58,279187
NVDA,2024-01-23,483.01,490.83,478.18,485.97,35134159,484.99,291136
NVDA,2024-01-24,480.85,487.91,476.04,483.08,38098434,482.34,267772
NVDA,2024-01-25,487.06,493.01,482.19,488.13,39728482,487.78,114663
NVDA,2024-01-26,484.79,489.8,479.94,484.95,39463591,484.9,170186
NVDA,2024-01-29,474.49,483.65,469.74,478.86,47015401,477.42,288196
NVDA,2024-01-30,474.13,482.03,469.38,477.25,41868957,476.22,268519
NVDA,2024-01-31,476.93,482.98,472.16,478.2,37398825,477.78,247159
NVDA,2024-02-01,476.97,485.37,472.2,480.56,42853014,479.38,252969
NVDA,2024-02-02,479.4,485.26,474.61,480.45,59926128,480.11,233569
NVDA,2024-02-05,478.38,486.84,473.59,482.02,55833087,480.82,140066
NVDA,2024-02-06,482.13,490.84,477.31,485.98,42664799,484.71,116653
NVDA,2024-02-07,482.72,490.47,477.89,485.61,44041496,484.65,165906
NVDA,2024-02-08,491.51,500.73,486.59,495.77,30344430,494.37,288932
NVDA,2024-02-09,486.1,495.34,481.24,490.44,52526333,489.01,268024
NVDA,2024-02-12,487.82,494.15,482.94,489.25,34744732,488.78,100850
NVDA,2024-02-13,494.81,504.17,489.86,499.18,37901671,497.74,231225
NVDA,2024-02-14,503.2,510.83,498.17,505.77,33192324,504.92,263918
NVDA,2024-02-15,500.55,508.8,495.54,503.77,48269106,502.7,140065
NVDA,2024-02-16,502.37,508.21,497.34,503.18,58604992,502.91,239029
NVDA,2024-02-19,509.66,517.86,504.56,512.73,44658171,511.72,129325
NVDA,2024-02-20,518.07,527.89,512.89,522.67,54949965,521.15,180612
NVDA,2024-02-21,518.21,524.65,513.02,519.46,47020708,519.04,120645
NVDA,2024-02-22,510.82,518.44,505.71,513.31,32076375,512.49,299387
NVDA,2024-02-23,515.08,520.89,509.93,515.73,49792524,515.52,244127
NVDA,2024-02-26,508.45,516.26,503.36,511.14,48197817,510.25,155521
NVDA,2024-02-27,517.11,526.26,511.94,521.04,50696028,519.75,286895
NVDA,2024-02-28,514.07,524.43,508.93,519.24,49496341,517.53,214845
NVDA,2024-02-29,526.35,534.02,521.08,528.73,37437168,527.95,116784
NVDA,2024-03-01,524.31,532.69,519.07,527.42,36903441,526.39,157728
NVDA,2024-03-04,515.97,524.84,510.81,519.65,31766213,518.43,117668
NVDA,2024-03-05,524.71,534.55,519.46,529.26,32125720,527.76,162391
NVDA,2024-03-06,524.22,532.04,518.97,526.77,46177017,525.93,289622
NVDA,2024-03-07,534.04,542.48,528.7,537.11,44180130,536.09,223987
NVDA,2024-03-08,544.06,550.55,538.62,545.1,32907924,544.75,212997
NVDA,2024-03-11,541.83,549.51,536.41,544.07,55915102,543.33,114200
NVDA,2024-03-12,544.05,554.95,538.61,549.46,32952536,547.68,205544
NVDA,2024-03-13,551.57,561.58,546.06,556.02,33278070,554.55,150224
NVDA,2024-03-14,549.12,557.11,543.63,551.6,42656449,550.78,173018
NVDA,2024-03-15,547.93,558.29,542.45,552.76,32261546,551.17,244264
